uri,type,aat_label,aat_uri
http://data.collectienederland.nl/resource/document/mauritshuis/99,painting,paintings (visual works),http://vocab.getty.edu/aat/300033618
http://data.collectienederland.nl/resource/document/mauritshuis/99,schilderij,easel paintings (paintings by form),http://vocab.getty.edu/aat/300177435
http://data.collectienederland.nl/resource/document/mauritshuis/179,pastel,pastels (visual works),http://vocab.getty.edu/aat/300076922
http://data.collectienederland.nl/resource/document/mauritshuis/367,sculpture,sculpture (visual works),http://vocab.getty.edu/aat/300047090
http://data.collectienederland.nl/resource/document/mauritshuis/1179,stoel,chairs (furniture forms),http://vocab.getty.edu/aat/300037772
http://data.collectienederland.nl/resource/document/mauritshuis/834,drawing,drawings (visual works),http://vocab.getty.edu/aat/300033973
http://data.collectienederland.nl/resource/document/mauritshuis/1226,frame,frames (protective furnishings),http://vocab.getty.edu/aat/300189814
http://data.collectienederland.nl/resource/document/mauritshuis/1207,kam,combs (grooming tools),http://vocab.getty.edu/aat/300236397
http://data.collectienederland.nl/resource/document/mauritshuis/1176,table,tables (support furniture),http://vocab.getty.edu/aat/300039548
http://data.collectienederland.nl/resource/document/mauritshuis/1171,bank,benches (furniture),http://vocab.getty.edu/aat/300038494
http://data.collectienederland.nl/resource/document/mauritshuis/1164,tegelkachel,tile stoves,http://vocab.getty.edu/aat/300444082
http://data.collectienederland.nl/resource/document/mauritshuis/1130,brief,letters (correspondence),http://vocab.getty.edu/aat/300026879
http://data.collectienederland.nl/resource/document/mauritshuis/1087,print,prints (visual works),http://vocab.getty.edu/aat/300041273
http://data.collectienederland.nl/resource/document/mauritshuis/R94d,collage,collages (visual works),http://vocab.getty.edu/aat/300033963
http://data.collectienederland.nl/resource/document/mauritshuis/R94d,foto,photographs,http://vocab.getty.edu/aat/300046300
http://data.collectienederland.nl/resource/document/mauritshuis/R94a,kleed,rugs (textiles),http://vocab.getty.edu/aat/300185749
http://data.collectienederland.nl/resource/document/mauritshuis/1211,poster,posters,http://vocab.getty.edu/aat/300027221
http://data.collectienederland.nl/resource/document/mauritshuis/1206,tas,bags (costume accessories),http://vocab.getty.edu/aat/300198926
http://data.collectienederland.nl/resource/document/mauritshuis/1195,kroonluchter,chandeliers (hanging lights),http://vocab.getty.edu/aat/300037622
http://data.collectienederland.nl/resource/document/mauritshuis/954,dish,dishes (object genre),http://vocab.getty.edu/aat/300404900
http://data.collectienederland.nl/resource/document/mauritshuis/1208,video,video recordings (physical artifacts),http://vocab.getty.edu/aat/300028682
http://data.collectienederland.nl/resource/document/mauritshuis/1185,wandconsole,wandconsole,
http://data.collectienederland.nl/resource/document/mauritshuis/1184,kist,chests (case furniture),http://vocab.getty.edu/aat/300038992
http://data.collectienederland.nl/resource/document/mauritshuis/1090,miniature,miniatures (paintings),http://vocab.getty.edu/aat/300033936
http://data.collectienederland.nl/resource/document/mauritshuis/1209,ship model,builder's models,http://vocab.getty.edu/aat/300262881
