filename,width,height,orientation
0000002019,1000,819,landscape
0000002022,406,583,Portrait
0000002040,452,307,landscape
0000002045,453,332,landscape
0000002046,1000,809,landscape
0000002100,1000,871,landscape
0000002136,600,413,landscape
0000002154,1000,741,landscape
0000002155,1000,780,landscape
0000002166,774,1000,Portrait
0000002167,786,1000,Portrait
0000002209,480,607,Portrait
0000002215,1000,774,landscape
0000002218,687,1000,Portrait
0000002270,680,1000,Portrait
0000002277,736,1000,Portrait
0000002278,1000,811,landscape
0000002284,1000,759,landscape
0000002321,705,1000,Portrait
0000002325,1000,829,landscape
0000002354,1000,750,landscape
0000002355,1000,829,landscape
0000002360,842,1000,Portrait
0000002361,1000,749,landscape
0000002364,779,1000,Portrait
0000003179,1000,819,landscape
0000004027,1000,867,landscape
0000004043,480,342,landscape
0000004088,400,640,Portrait
